accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8898865929201556,0.512862,10,1,0,33,0,1,0,0,0
0.8898012099091639,0.538412,2,1,0,4,0,0,0,0,1
0.8898008347677109,0.518445,12,0,0,3,0,0,1,0,0
0.8898008347677109,0.512762,87,0,0,4,0,0,3,0,0
0.8898008347677109,0.512086,37,0,0,2,0,0,3,0,0
0.8901560125050647,0.491466,17,1,0,2,0,0,4,0,0
0.8900962110048045,0.327808,1,1,1,39,0,0,15,0,0
0.8900962110048045,0.32234,0,1,1,41,0,0,13,0,0
0.8900962110048045,0.314412,0,1,1,41,0,0,14,0,0
0.8900962110048045,0.317495,0,1,1,16,0,0,10,0,0
0.8900962110048045,0.336267,0,0,1,5,1,0,15,0,0
0.8900962110048045,0.328098,9,1,1,97,1,1,0,0,0
0.8898008347677109,0.506651,1,0,0,7,1,0,3,1,0
0.8898008456094615,0.53862,1,1,0,64,0,0,3,0,1
0.8900962110048045,0.314459,0,1,1,41,0,1,10,0,0
0.8900962110048045,0.313624,0,1,1,41,1,0,10,0,0
0.8900962110048045,0.317794,5,1,1,41,0,0,10,0,0
0.8900962110048045,0.318531,0,1,1,41,0,0,10,0,1
0.8898008347677109,0.512629,57,0,0,16,0,0,4,0,0
0.8900962110048045,0.3136,0,1,1,68,0,0,10,0,0
0.8900962110048045,0.320711,0,1,1,17,0,0,14,0,0
0.8900962110048045,0.318035,0,1,1,62,0,0,10,0,0
0.8898008347677109,0.508884,3,0,0,23,0,0,26,0,0
0.8898008347677109,0.516112,36,0,0,40,0,1,0,0,0
0.8898008347677109,0.512763,7,0,0,57,0,0,21,1,0
0.8898008347677109,0.507895,0,0,0,62,0,0,3,1,1
0.8898008347677109,0.509122,13,0,0,11,0,0,8,0,0
