accuracy,perf,compute_sum_in_neighbors_threshold_0,compute_sum_in_neighbors_decision_0,compute_sum_in_neighbors_decision_1,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1
1.0,0.726648,36,0,1,45,0,0
1.0,0.722168,0,0,0,6,0,0
1.0,0.750476,0,0,0,10,0,0
1.0,0.736545,0,0,1,9,0,0
1.0,0.710416,0,0,0,20,0,0
1.0,0.715596,55,0,0,8,0,0
1.0,0.729623,0,4,0,8,0,1
1.0,0.726166,0,0,3,8,0,0
1.0,0.735493,188,0,0,8,0,0
1.0,0.734078,223,0,1,12,0,0
1.0,0.725383,8,0,1,13,0,0
1.0,0.713079,43,0,1,0,1,1
1.0,0.764402,13,4,0,33,0,1
1.0,0.723701,319,0,0,9,0,0
1.0,0.723312,0,0,0,9,0,0
1.0,0.723085,0,1,0,8,0,0
1.0,0.731086,0,0,0,33,0,0
1.0,0.740005,25,4,2,10,0,0
1.0,0.711837,10,3,0,449,0,1
1.0,0.738958,947,1,1,262,1,0
1.0,0.726541,1024,2,0,552,1,0
1.0,0.723192,168,0,1,10,0,0
1.0,0.72325,1,0,0,13,0,0
1.0,0.734069,0,3,0,1,0,0
1.0,0.7223,13,0,0,8,0,0
1.0,0.723493,140,0,1,2,0,0
1.0,0.735092,0,0,0,4,0,0
1.0,0.75748,0,0,1,8,0,0
1.0,0.728336,0,0,0,25,0,0
1.0,0.730134,108,0,1,4,0,0
1.0,0.738467,0,2,1,8,0,0
1.0,0.713966,0,0,3,8,0,0
1.0,0.716681,0,0,0,1,0,0
1.0,0.72783,115,0,2,5,0,0
1.0,0.721523,159,0,1,4,0,0
1.0,0.751621,65,0,3,3,0,0
1.0,0.737546,26,0,2,5,0,0
1.0,0.728881,0,1,0,7,1,0
1.0,0.724165,811,1,4,0,0,1
1.0,0.726943,31,1,0,24,0,0
1.0,0.7376,585,3,0,300,1,0
1.0,0.738422,0,0,0,6,0,0
1.0,0.727417,0,0,0,3,0,0
1.0,0.724972,2,0,0,4,0,0
1.0,0.727254,0,0,1,8,0,0
1.0,0.715552,0,1,0,8,0,0
1.0,0.729366,0,3,0,8,1,0
1.0,0.728083,0,0,0,1,0,0
1.0,0.729911,0,0,0,227,0,0
1.0,0.71155,133,0,2,5,0,0
1.0,0.73109,72,0,3,6,0,0
1.0,0.725326,2,0,0,12,0,0
1.0,0.721409,2,0,0,8,0,0
1.0,0.719466,5,1,4,54,1,0
1.0,0.731692,2,0,2,72,1,0
1.0,0.723501,19,1,2,31,0,1
1.0,0.730018,198,0,3,418,1,0
1.0,0.713469,126,0,1,7,0,0
1.0,0.717901,1,0,0,8,0,0
1.0,0.706731,0,0,0,14,0,0
1.0,0.708662,0,0,0,12,0,0
1.0,0.723232,2,0,0,14,0,0
1.0,0.724319,0,0,0,5,0,0
1.0,0.717275,0,0,0,5,0,0
1.0,0.755356,0,0,0,8,0,0
1.0,0.725824,0,0,0,53,0,0
1.0,0.722236,0,0,0,9,0,0
1.0,0.725326,0,0,0,14,0,1
1.0,0.728366,0,0,0,60,0,0
1.0,0.728312,0,0,0,12,0,0
1.0,0.722912,0,0,0,9,0,0
1.0,0.718877,3,0,0,9,0,0
1.0,0.726907,0,0,0,7,0,0
1.0,0.746101,2,0,0,14,0,0
1.0,0.72368,2,0,0,14,0,0
1.0,0.723081,0,0,0,34,0,0
1.0,0.734936,0,0,0,11,0,0
1.0,0.726724,0,0,0,72,0,0
1.0,0.708135,1,0,0,79,0,0
1.0,0.72411,2,0,0,14,0,0
1.0,0.728604,1,0,0,23,0,0
1.0,0.712916,0,0,0,18,0,0
1.0,0.715305,1,0,0,23,0,0
1.0,0.724883,2,0,0,14,0,0
1.0,0.710663,0,0,0,5,0,0
1.0,0.725394,0,0,0,21,0,0
1.0,0.717761,0,0,0,17,0,0
1.0,0.724899,0,0,0,7,0,0
1.0,0.725446,0,1,0,14,0,0
1.0,0.735891,1,0,0,14,0,0
1.0,0.711833,0,0,0,5,0,0
1.0,0.73097,0,0,0,38,0,0
1.0,0.768248,0,0,0,10,0,0
1.0,0.733023,1,0,0,14,0,0
1.0,0.736054,0,0,0,30,0,0
1.0,0.712163,0,0,0,9,0,0
1.0,0.732019,0,0,0,31,0,0
1.0,0.727421,101,0,1,5,0,0
1.0,0.708357,0,0,0,5,0,0
1.0,0.709268,0,0,0,35,0,0
1.0,0.728448,0,0,0,12,0,0
1.0,0.754482,0,0,0,8,0,0
1.0,0.731785,347,0,0,14,0,0
1.0,0.728341,1,0,0,14,0,0
1.0,0.766073,0,0,0,552,0,0
1.0,0.73815,103,0,3,3,0,0
1.0,0.739567,112,0,2,3,0,0
1.0,0.724428,95,0,3,3,0,0
1.0,0.713167,75,0,3,4,0,0
1.0,0.712185,43,0,0,281,0,0
1.0,0.729389,80,3,0,40,0,1
1.0,0.724193,4,0,1,80,0,1
1.0,0.730082,778,4,0,45,0,1
1.0,0.708869,43,0,0,520,0,0
1.0,0.737833,70,0,0,281,0,0
1.0,0.743912,43,1,1,281,0,0
1.0,0.731833,63,0,2,281,0,0
1.0,0.748862,6,0,1,187,0,1
1.0,0.743171,504,0,0,0,0,1
1.0,0.730163,0,4,0,7,0,0
1.0,0.725794,65,1,0,0,0,0
1.0,0.731241,105,0,1,520,0,1
1.0,0.721491,520,1,0,520,0,0
1.0,0.730043,43,0,0,4,0,0
1.0,0.727362,537,0,0,520,0,0
1.0,0.727645,482,1,2,130,0,0
1.0,0.723389,58,0,0,520,0,0
1.0,0.722033,748,0,0,26,1,0
1.0,0.736124,444,4,1,0,0,0
1.0,0.724607,2,1,3,80,0,0
1.0,0.733816,43,0,0,90,0,0
1.0,0.733262,43,0,0,816,0,0
1.0,0.74034,43,0,0,940,0,0
1.0,0.723099,216,4,0,0,0,0
1.0,0.750184,43,2,0,520,0,0
1.0,0.71227,43,0,0,24,0,0
1.0,0.735723,43,0,0,355,0,0
1.0,0.715857,0,4,0,999,0,0
1.0,0.709642,10,1,0,118,0,1
1.0,0.714495,14,0,3,183,0,1
1.0,0.725975,1,0,0,932,1,0
1.0,0.724948,1024,0,0,274,0,0
1.0,0.737074,43,0,0,936,0,0
1.0,0.737867,43,0,0,229,0,0
1.0,0.731257,43,0,0,330,0,0
1.0,0.738043,123,1,0,84,0,0
1.0,0.724217,3,0,0,520,0,0
1.0,0.716779,196,0,0,520,0,0
1.0,0.710706,0,4,3,520,0,0
1.0,0.724873,6,1,0,530,0,0
1.0,0.745616,97,1,0,16,0,0
1.0,0.717726,10,0,1,150,0,0
1.0,0.720952,53,0,0,16,0,0
1.0,0.730334,3,3,2,271,0,0
1.0,0.729691,13,2,2,8,0,0
1.0,0.723572,114,2,0,30,0,1
1.0,0.72777,28,1,0,326,1,0
1.0,0.727309,47,0,0,882,0,0
1.0,0.735031,27,0,0,520,0,0
1.0,0.749217,25,0,0,520,0,0
1.0,0.729733,9,0,0,520,0,0
1.0,0.754214,43,0,0,1,0,0
1.0,0.761929,43,0,0,2,0,0
1.0,0.739804,43,0,0,520,1,0
1.0,0.712329,43,0,2,3,0,0
1.0,0.729111,59,1,0,107,0,0
1.0,0.730629,6,1,0,46,0,0
1.0,0.719767,37,1,1,65,0,0
1.0,0.718226,279,0,4,2,1,0
1.0,0.740962,113,0,0,356,0,0
1.0,0.732622,34,0,0,520,0,0
1.0,0.73361,36,0,0,146,0,0
1.0,0.729576,43,0,0,442,0,0
1.0,0.728768,1,0,0,1024,0,0
1.0,0.72667,1,0,0,71,0,0
1.0,0.740448,15,3,3,260,0,0
1.0,0.736994,12,0,1,1,0,1
1.0,0.741159,6,0,0,294,0,0
1.0,0.71305,0,0,0,863,0,0
1.0,0.758217,0,4,0,520,0,0
1.0,0.729247,43,0,1,520,0,0
1.0,0.721997,21,0,0,205,0,0
1.0,0.739447,48,0,0,68,0,0
1.0,0.729696,17,0,0,386,0,0
1.0,0.73343,50,0,0,174,0,0
1.0,0.725001,43,0,0,446,0,0
1.0,0.717912,33,0,0,520,0,0
1.0,0.722322,80,0,2,36,1,0
1.0,0.734615,147,0,0,742,0,0
1.0,0.740526,12,0,0,520,0,0
1.0,0.731407,43,0,1,520,0,0
1.0,0.720169,43,0,0,0,0,0
1.0,0.733482,43,3,0,520,0,0
1.0,0.710087,5,4,0,328,1,1
1.0,0.750685,151,4,4,142,0,0
1.0,0.730723,18,0,0,157,0,0
1.0,0.738305,857,2,1,15,1,0
1.0,0.743847,43,0,0,769,0,0
1.0,0.730421,43,0,0,587,0,0
1.0,0.725048,43,0,0,348,0,0
1.0,0.735836,58,0,1,447,0,0
1.0,0.715727,17,0,0,114,0,0
1.0,0.73019,65,0,0,68,0,0
1.0,0.731016,4,2,4,0,0,1
1.0,0.720519,5,3,0,9,1,1
1.0,0.727502,43,0,0,520,0,1
1.0,0.746533,15,0,0,781,0,0
1.0,0.753816,43,0,0,180,0,0
1.0,0.753469,0,0,0,2,0,0
1.0,0.715147,40,0,0,102,0,0
1.0,0.726097,70,0,0,935,0,0
1.0,0.73761,0,1,0,56,0,1
1.0,0.727268,861,0,3,1,1,0
1.0,0.723637,13,0,0,143,0,0
1.0,0.711262,71,0,0,153,0,0
1.0,0.708774,53,0,0,520,0,0
1.0,0.729487,43,0,0,343,0,0
1.0,0.749744,107,0,0,213,0,0
1.0,0.729163,53,0,0,425,0,0
1.0,0.742452,53,0,0,361,0,0
1.0,0.716995,32,0,0,144,0,0
1.0,0.755758,34,0,0,520,0,0
1.0,0.740844,26,0,0,634,0,0
1.0,0.719871,27,0,0,520,0,0
1.0,0.729406,22,0,0,520,0,0
1.0,0.754645,31,0,0,520,0,0
1.0,0.722631,16,0,0,520,0,0
1.0,0.723471,53,0,0,767,0,0
1.0,0.818483,37,0,0,520,0,0
1.0,0.724986,53,0,0,393,0,0
1.0,0.725472,24,0,0,520,0,0
1.0,0.71455,38,0,0,520,0,0
1.0,0.713163,154,0,0,520,0,0
1.0,0.727573,81,0,0,520,0,0
1.0,0.721373,40,0,0,307,0,0
1.0,0.733899,53,0,0,219,0,0
1.0,0.729758,53,0,1,922,0,0
1.0,0.739099,17,0,0,728,0,0
1.0,0.730836,144,0,0,520,0,0
1.0,0.767435,42,0,0,520,0,0
1.0,0.728667,64,0,0,520,0,0
1.0,0.7104,39,0,0,520,0,0
1.0,0.723448,53,0,0,298,0,0
1.0,0.727597,8,0,0,973,0,0
1.0,0.727177,11,0,0,520,0,0
1.0,0.729002,115,0,0,213,0,0
1.0,0.709083,19,0,0,520,0,0
1.0,0.729759,53,0,0,704,0,0
1.0,0.720851,118,0,0,520,0,0
1.0,0.74181,53,0,0,658,0,0
1.0,0.732456,67,0,0,520,0,0
1.0,0.745193,47,0,0,426,0,0
1.0,0.724108,51,0,0,547,0,0
1.0,0.737501,53,0,0,0,0,0
1.0,0.724365,53,0,0,31,0,0
1.0,0.730558,20,0,0,153,0,0
1.0,0.718485,53,0,0,520,1,0
1.0,0.731779,532,2,2,36,0,0
1.0,0.742179,784,1,0,8,0,1
1.0,0.737355,1,4,2,3,0,0
1.0,0.736979,535,1,0,0,0,1
1.0,0.745329,41,0,0,169,0,0
1.0,0.729114,27,0,0,179,0,0
1.0,0.733324,30,0,0,240,0,0
1.0,0.724743,27,0,0,329,0,0
1.0,0.732557,53,0,0,906,0,0
1.0,0.724382,53,0,0,661,0,0
1.0,0.729247,287,0,0,520,0,0
1.0,0.710117,53,0,0,302,0,0
1.0,0.710026,642,0,0,520,0,0
1.0,0.710577,53,0,2,520,0,0
1.0,0.714637,0,0,0,520,1,0
1.0,0.714779,2,0,0,520,0,0
1.0,0.71071,12,0,0,0,1,0
1.0,0.719638,4,0,1,1024,0,0
1.0,0.745687,482,0,2,130,0,0
1.0,0.73205,11,0,0,1024,1,0
1.0,0.707997,53,0,0,138,0,0
1.0,0.731528,46,0,0,221,0,0
1.0,0.731661,53,0,0,324,0,0
1.0,0.747689,116,0,0,520,0,0
1.0,0.791429,30,0,0,343,0,0
1.0,0.731769,168,0,0,138,0,0
1.0,0.723117,53,2,0,138,0,0
1.0,0.729405,1,0,0,138,0,0
1.0,0.72481,39,0,0,190,0,0
1.0,0.710037,134,1,0,113,0,0
1.0,0.740923,53,1,0,38,0,0
1.0,0.722354,53,0,0,466,0,0
1.0,0.736114,56,0,0,180,0,0
1.0,0.731415,0,1,1,0,0,0
1.0,0.731245,10,1,1,1024,0,0
1.0,0.725297,14,0,3,65,0,1
1.0,0.728468,33,0,0,229,0,0
1.0,0.728163,53,0,2,13,0,0
1.0,0.731967,53,0,0,138,0,1
1.0,0.726176,76,0,0,138,0,0
1.0,0.721563,24,0,0,206,0,0
1.0,0.727553,74,0,0,138,0,0
1.0,0.709669,31,0,0,903,0,0
1.0,0.716166,109,0,0,51,0,0
1.0,0.724974,30,0,0,211,0,0
1.0,0.739156,0,0,0,152,1,0
1.0,0.727909,3,3,2,271,0,1
1.0,0.725644,0,4,2,8,0,0
1.0,0.71377,48,0,0,197,0,0
1.0,0.716077,38,0,0,213,0,0
1.0,0.709005,45,0,0,162,0,0
1.0,0.709757,42,0,0,178,0,0
1.0,0.713227,38,0,0,157,0,0
1.0,0.712532,49,0,0,175,0,0
1.0,0.731439,53,0,1,220,0,0
1.0,0.709082,53,0,0,108,0,0
1.0,0.730845,59,0,0,114,0,0
1.0,0.727755,865,0,0,138,0,0
1.0,0.723977,53,1,0,138,0,0
1.0,0.736943,53,0,1,138,0,0
1.0,0.728622,41,0,0,192,0,0
1.0,0.738408,114,2,0,30,1,1
1.0,0.712586,28,1,0,24,1,0
1.0,0.732965,37,1,1,65,0,1
1.0,0.730883,49,0,0,150,0,0
1.0,0.725148,47,0,0,157,0,0
1.0,0.732251,51,0,0,155,0,0
