accuracy,perf,NUM_ITERATIONS,LOOP_SKIP,SKIP_SYNC,QUANTIZATION,worker_threads
0.6836842105263158,0.023901,2753,8,0,0,1
0.9918546365914787,0.219584,1935,1,1,1,2
0.9851503759398497,0.00128,8,1,0,1,2
0.7244235588972431,0.000337,10,2,1,0,1
0.6674812030075188,0.000651,6,10,0,0,2
0.6986967418546366,0.000359,6,10,1,0,2
0.7283333333333333,0.00021,7,2,1,0,1
0.6820802005012532,0.000153,13,10,1,1,1
0.6936215538847118,0.000172,6,9,0,1,1
0.6667167919799499,8e-05,6,10,1,1,1
0.6804636591478697,5.3e-05,6,8,1,0,1
0.6662781954887218,3.3e-05,6,10,0,0,1
0.6664661654135338,0.142782,8404,10,1,1,1
0.6660025062656642,0.056272,8887,10,1,0,1
0.7191478696741855,0.005234,47,3,0,1,2
0.6939348370927318,0.016999,338,4,0,1,1
0.9918546365914787,0.230774,2113,1,1,1,2
0.6819674185463659,0.000183,6,10,1,0,2
0.6776190476190476,0.000407,6,9,1,0,2
0.6881954887218045,0.024643,3896,10,1,0,1
0.7274812030075188,0.00018,6,2,1,0,1
0.6929949874686716,6.6e-05,6,9,1,0,1
0.6762280701754386,0.000141,16,7,1,0,1
0.6778947368421053,0.000125,14,8,1,0,1
0.6752380952380952,0.000172,6,10,1,0,2
0.6736591478696742,0.000434,6,10,0,0,2
0.6814035087719299,0.003337,516,10,1,0,1
0.6667167919799499,7.8e-05,6,10,1,1,1
0.9918671679197995,0.00531,48,1,1,1,2
0.6887593984962406,0.002748,46,8,0,1,2
0.6812907268170426,8.2e-05,6,4,1,0,1
0.6929949874686716,6.1e-05,6,9,1,0,1
0.9826441102756892,0.000352,6,1,1,0,1
0.6947869674185463,0.032229,5201,10,1,0,1
0.681704260651629,5.3e-05,9,10,0,0,1
0.6929949874686716,6.3e-05,6,9,1,0,1
0.6667167919799499,8e-05,6,10,1,1,1
0.7026065162907268,0.00393,44,3,1,1,2
0.6648746867167921,0.001318,190,10,0,0,1
0.985250626566416,0.001534,10,1,0,1,2
0.6827694235588972,0.000282,11,7,1,1,1
0.7186215538847118,0.000141,6,3,1,0,1
0.6651378446115288,0.000494,81,10,1,0,1
0.6921303258145364,0.000128,22,10,1,0,1
0.6727067669172933,0.000685,6,10,1,0,2
0.7046365914786967,8.6e-05,6,6,1,0,1
0.6667167919799499,8.2e-05,6,10,0,1,1
0.6725814536340853,0.003148,470,10,1,0,1
0.6662781954887218,3.2e-05,6,10,0,0,1
0.6929949874686716,6.3e-05,6,9,1,0,1
0.7046365914786967,7.9e-05,6,6,1,0,1
0.7050375939849625,0.000222,6,6,1,1,1
0.6722681704260651,0.000262,6,10,1,0,2
0.9918546365914787,0.248047,2158,1,1,1,2
0.7160025062656641,0.000503,7,3,1,1,1
